business_name,segment,city,address,phone,website,yelp_url,yelp_rating,yelp_review_count,google_rating,google_review_count,years_in_business,owner_name,email,social_media,source,status,notes
"Front Range Pest and Wildlife Control","pest control",Berthoud,"301 Callie Ct, Loveland, CO 80537, USA","","","",,,5.0,120,"","","","",google_places,untouched,""
"Front Range Pest and Wildlife Control","pest control",Johnstown,"301 Callie Ct, Loveland, CO 80537, USA","","","",,,5.0,120,"","","","",google_places,untouched,""
"Front Range Pest and Wildlife Control","pest control",Mead,"301 Callie Ct, Loveland, CO 80537, USA","","","",,,5.0,120,"","","","",google_places,untouched,""
"Front Range Pest and Wildlife Control","pest control",Firestone,"301 Callie Ct, Loveland, CO 80537, USA","","","",,,5.0,120,"","","","",google_places,untouched,""
"Front Range Pest and Wildlife Control","pest control",Frederick,"301 Callie Ct, Loveland, CO 80537, USA","","","",,,5.0,120,"","","","",google_places,untouched,""
"Air Products Heating & Cooling",hvac,"Fort Collins","800 Stockton Ave #3, Fort Collins, CO 80524, USA","","","",,,5.0,119,"","","","",google_places,untouched,""
"Finish Plumbing, LLC",plumbing,Loveland,"554 18th St SW, Loveland, CO 80537, USA","","","",,,5.0,119,"","","","",google_places,untouched,""
"Air Products Heating & Cooling",hvac,Wellington,"800 Stockton Ave #3, Fort Collins, CO 80524, USA","","","",,,5.0,119,"","","","",google_places,untouched,""
"Air Products Heating & Cooling",hvac,Timnath,"800 Stockton Ave #3, Fort Collins, CO 80524, USA","","","",,,5.0,119,"","","","",google_places,untouched,""
"Finish Plumbing, LLC",plumbing,Berthoud,"554 18th St SW, Loveland, CO 80537, USA","","","",,,5.0,119,"","","","",google_places,untouched,""
"Finish Plumbing, LLC",plumbing,Johnstown,"554 18th St SW, Loveland, CO 80537, USA","","","",,,5.0,119,"","","","",google_places,untouched,""
"Finish Plumbing, LLC",plumbing,Milliken,"554 18th St SW, Loveland, CO 80537, USA","","","",,,5.0,119,"","","","",google_places,untouched,""
"Mikes Heating and Air Conditioning, LLC",hvac,Greeley,"31386 Co Rd 51, Greeley, CO 80631, USA","","","",,,5.0,118,"","","","",google_places,untouched,""
"Highroad Roofing",roofing,Windsor,"6512 Mayfair Ave, Timnath, CO 80547, USA","","","",,,5.0,115,"","","","",google_places,untouched,""
"Crossfit Longmont",gym,Longmont,"1401 Ken Pratt Blvd, Longmont, CO 80501, USA","","","",,,5.0,115,"","","","",google_places,untouched,""
"Highroad Roofing",roofing,Timnath,"6512 Mayfair Ave, Timnath, CO 80547, USA","","","",,,5.0,115,"","","","",google_places,untouched,""
"Highroad Roofing",roofing,Johnstown,"6512 Mayfair Ave, Timnath, CO 80547, USA","","","",,,5.0,115,"","","","",google_places,untouched,""
"Highroad Roofing",roofing,Mead,"6512 Mayfair Ave, Timnath, CO 80547, USA","","","",,,5.0,115,"","","","",google_places,untouched,""
"Eggers Electric",electrician,"Fort Collins","3165 Kingfisher Ct, Fort Collins, CO 80528, USA","","","",,,5.0,114,"","","","",google_places,untouched,""
"Eggers Electric",electrician,Laporte,"3165 Kingfisher Ct, Fort Collins, CO 80528, USA","","","",,,5.0,114,"","","","",google_places,untouched,""
"Eggers Electric",electrician,Severance,"3165 Kingfisher Ct, Fort Collins, CO 80528, USA","","","",,,5.0,114,"","","","",google_places,untouched,""
"Eggers Electric",electrician,Timnath,"3165 Kingfisher Ct, Fort Collins, CO 80528, USA","","","",,,5.0,114,"","","","",google_places,untouched,""
"Gus Roofing",roofing,Greeley,"149 30th St, Greeley, CO 80631, USA","","","",,,5.0,109,"","","","",google_places,untouched,""
"Gus Roofing",roofing,Evans,"149 30th St, Greeley, CO 80631, USA","","","",,,5.0,109,"","","","",google_places,untouched,""
